FLOW_DATE,SL_NO,RESERVOIR,YEAR,WEEK_NO,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
2011-01-01,51.0,K.R.S,2011.0,1.0,46.42,122.59,2029.0,2000.0,K.R.S-2011-01-01
2011-01-02,52.0,K.R.S,2011.0,1.0,46.54,122.68,3084.0,1490.0,K.R.S-2011-01-02
2011-01-03,53.0,K.R.S,2011.0,1.0,46.64,122.75,2776.0,1491.0,K.R.S-2011-01-03
2011-01-04,54.0,K.R.S,2011.0,1.0,46.69,122.79,2311.0,1491.0,K.R.S-2011-01-04
2011-01-05,55.0,K.R.S,2011.0,1.0,46.7,122.8,1847.0,1491.0,K.R.S-2011-01-05
2011-01-06,56.0,K.R.S,2011.0,1.0,46.74,122.83,2156.0,1491.0,K.R.S-2011-01-06
2011-01-07,57.0,K.R.S,2011.0,1.0,46.76,122.84,1847.0,1491.0,K.R.S-2011-01-07
2011-01-08,135.0,K.R.S,2011.0,2.0,46.78,122.86,2002.0,1491.0,K.R.S-2011-01-08
2011-01-09,136.0,K.R.S,2011.0,2.0,46.77,122.85,1537.0,1491.0,K.R.S-2011-01-09
2011-01-10,137.0,K.R.S,2011.0,2.0,46.74,122.83,1382.0,1491.0,K.R.S-2011-01-10
2011-01-11,138.0,K.R.S,2011.0,2.0,46.7,122.8,1228.0,1491.0,K.R.S-2011-01-11
2011-01-12,139.0,K.R.S,2011.0,2.0,46.45,122.61,1530.0,4272.0,K.R.S-2011-01-12
2011-01-13,140.0,K.R.S,2011.0,2.0,46.45,122.61,1530.0,4272.0,K.R.S-2011-01-13
2011-01-14,141.0,K.R.S,2011.0,2.0,46.13,122.37,1667.0,5183.0,K.R.S-2011-01-14
2011-01-15,219.0,K.R.S,2011.0,3.0,45.77,122.1,1184.0,5164.0,K.R.S-2011-01-15
2011-01-16,220.0,K.R.S,2011.0,3.0,45.45,121.86,1651.0,5123.0,K.R.S-2011-01-16
2011-01-17,221.0,K.R.S,2011.0,3.0,45.17,121.65,2103.0,5104.0,K.R.S-2011-01-17
2011-01-18,222.0,K.R.S,2011.0,3.0,44.95,121.48,2694.0,5089.0,K.R.S-2011-01-18
2011-01-19,223.0,K.R.S,2011.0,3.0,44.69,121.28,2205.0,5055.0,K.R.S-2011-01-19
2011-01-20,224.0,K.R.S,2011.0,3.0,44.44,121.09,2351.0,5049.0,K.R.S-2011-01-20
2011-01-21,225.0,K.R.S,2011.0,3.0,44.2,120.9,2347.0,5014.0,K.R.S-2011-01-21
2011-01-22,305.0,K.R.S,2011.0,4.0,43.94,120.7,2211.0,4998.0,K.R.S-2011-01-22
2011-01-23,306.0,K.R.S,2011.0,4.0,43.68,120.5,2195.0,4982.0,K.R.S-2011-01-23
2011-01-24,307.0,K.R.S,2011.0,4.0,43.45,120.32,2455.0,4946.0,K.R.S-2011-01-24
