Reservoirs,Full Depth(Feet),Full Capacity(M.Cft.),Current Year Level(Feet),Current Year Storage(M.Cft.),Current Year Inflow(CuSecs),Current Year Outflow(CuSecs),Last Year Level(Feet),Last Year Storage(M.Cft.),Date
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-29
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-30
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-01-31
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-02-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-29
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-30
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-03-31
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-29
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-04-30
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-29
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-30
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-05-31
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-11
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-12
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-13
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-14
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-15
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-16
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-17
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-18
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-19
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-20
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-21
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-22
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-23
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-24
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-25
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-26
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-27
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-28
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-29
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-06-30
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-01
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-02
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-03
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-04
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-05
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-06
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-07
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-08
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-09
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-10
Krishna Raja Sagar,124.8,49452.0,92.08,17214.0,19696.0,2229.0,104.37,26433.0,2011-07-11
